id,Τίτλος,Περιοδικό,DOI,Αναφορές
pub.1133525109,"Design Limitations, Errors and Hazards in Creating Decision Support Platforms with Large- and Very Large-Scale Data and Program Cores",Algorithms,10.3390/a13120341,0
pub.1136458872,Secondary traumatic stress and vicarious posttraumatic growth in healthcare workers during the first COVID-19 lockdown in Greece: The role of resilience and coping strategies.,Psychiatriki,10.22365/jpsych.2021.001,0
pub.1137718863,Association Between Population Vitamin D Status and SARS-CoV-2 Related Serious-Critical Illness and Deaths,Journal of the Endocrine Society,10.1210/jendso/bvab048.549,0
pub.1138294515,Comparison of Neutralizing antibody responses against SARS‐CoV‐2 in healthy volunteers who received the BNT162b2 mRNA or the AZD1222 vaccine: Should the second AZD1222 vaccine dose be given earlier?,American Journal of Hematology,10.1002/ajh.26248,0
pub.1129970318,Bayesian latent class models to estimate diagnostic test accuracies of COVID‐19 tests,Journal of Medical Virology,10.1002/jmv.26405,0
pub.1136284252,SARS-CoV-2 Molecular Transmission Clusters and Containment Measures in Ten European Regions during the First Pandemic Wave,Life,10.3390/life11030219,0
pub.1137817705,Prevalence and associated factors of anxiety and depression in students at a Greek university during COVID-19 lockdown,Journal of Public Health Research,10.4081/jphr.2021.2089,0
pub.1131939623,Differences between fellows and fellowship program directors in their perception of the impact of the COVID-19 pandemic on gastroenterology training: results from a nationwide survey in Greece,Annals of Gastroenterology,10.20524/aog.2020.0546,0
pub.1135917037,Increased influenza vaccination rates in patients with autoimmune rheumatic diseases during the Covid-19 pandemic: a cross-sectional study,Rheumatology International,10.1007/s00296-021-04817-3,0
pub.1128885095,The Importance of Health Informatics in Public Health During the COVID-19 Pandemic.,null,10.3233/shti200602,0
pub.1130307971,"The evolving field of Dermato‐oncology and the role of dermatologists: Position Paper of the EADO, EADV and Task Forces, EDF, IDS, EBDV–UEMS and EORTC Cutaneous Lymphoma Task Force",Journal of the European Academy of Dermatology and Venereology,10.1111/jdv.16849,0
pub.1136334228,Management of patients with difficult-to-treat multiple myeloma,Future Oncology,10.2217/fon-2020-1280,0
pub.1135319594,"Potential Interplay between Nrf2, TRPA1, and TRPV1 in Nutrients for the Control of COVID-19",International Archives of Allergy and Immunology,10.1159/000514204,0
pub.1136775761,A reduction of the number of assays and turnaround time by optimizing polymerase chain reaction (PCR) pooled testing for SARS‐CoV‐2,Journal of Medical Virology,10.1002/jmv.26972,0
pub.1132732613,Synthesis of Recommendations From 25 Countries and 31 Oncology Societies: How to Navigate Through Covid-19 Labyrinth,Frontiers in Oncology,10.3389/fonc.2020.575148,0
pub.1135553311,Low prevalence of multi-resistant bacteria in undergraduate dental students; an observational case-control multi-centre study in Europe,Journal of Oral Microbiology,10.1080/20002297.2021.1889898,0
pub.1138357721,The Significance of B-cell Receptor Stereotypy in Chronic Lymphocytic Leukemia Biological and Clinical Implications,Hematology/Oncology Clinics of North America,10.1016/j.hoc.2021.03.003,0
pub.1134829068,Corrigendum to “Toxic metal exposure as a possible risk factor for COVID-19 and other respiratory infectious diseases” [Food Chem. Toxicol. 146 111809],Food and Chemical Toxicology,10.1016/j.fct.2021.111999,0
pub.1137303738,The spread of Yellow fever amidst the COVID‐19 pandemic in Africa and the ongoing efforts to mitigate it,Journal of Medical Virology,10.1002/jmv.27027,0
pub.1137324951,Safety of COVID-19 vaccines administered in the EU: Should we be concerned?,Toxicology Reports,10.1016/j.toxrep.2021.04.003,0
pub.1138171247,Development methodology of the novel Endoscopic Stone Treatment step 2/A (EST s2/A) training/assessment curriculum and a roadmap on developing hands on training curriculums in future: An international collaborative work by EAU sections,Journal of Endourology,10.1089/end.2021.0040,0
pub.1133517527,Challenges in Clinical Nutrition during the COVID-19 Pandemic,null,10.1159/000513265,0
pub.1138206470,How can the orthopedic surgeon ensure optimal vitamin D status in patients operated for an osteoporotic fracture?,Osteoporosis International,10.1007/s00198-021-05957-9,0
pub.1138176483,Outcomes of EAU-endorsed Live Surgical Events over a 5-year Period (2015–2020) and Updated Guidelines from the EAU Live Surgery Committee,European Urology,10.1016/j.eururo.2021.04.037,0
pub.1138020784,"METHYLENE BLUE FOR TREATMENT OF HOSPITALIZED COVID-19 PATIENTS: A RANDOMIZED, CONTROLLED, OPEN-LABEL CLINICAL TRIAL, PHASE 2.",Revista de Investigación Clínica,10.24875/ric.21000028,0
pub.1132947417,When the boundaries between science and politics are blurred,Toxicology Reports,10.1016/j.toxrep.2020.11.010,0
pub.1137733194,New Sub-Phenotyping of Subjects at High Risk of Type 2 Diabetes: What Are the Potential Clinical Implications?,Diabetes Therapy,10.1007/s13300-021-01065-3,0
pub.1130703728,Activin/Follistatin-axis deregulation is independently associated with COVID-19 in-hospital mortality,medRxiv,10.1101/2020.09.05.20184655,0
pub.1134912777,"Clozapine, neutropenia and Covid-19: should clinicians be concerned? 3 months report",Brain Behavior & Immunity - Health,10.1016/j.bbih.2021.100212,0
pub.1130030818,A Severe COVID-19 Case Complicated by Right Atrium Thrombus.,American Journal of Case Reports,10.12659/ajcr.926915,0
pub.1137386309,The Role of Microbiome and Virome in Idiopathic Pulmonary Fibrosis,Biomedicines,10.3390/biomedicines9040442,0
pub.1137403325,"Expert opinion on sonidegib efficacy, safety and tolerability",Expert Opinion on Drug Safety,10.1080/14740338.2021.1921734,0
pub.1137349000,Hypothyroidism is associated with prolonged COVID-19-induced anosmia: a case–control study,Journal of Neurology Neurosurgery & Psychiatry,10.1136/jnnp-2021-326587,0
pub.1135435260,"Management of patients with multiple myeloma beyond the clinical-trial setting: understanding the balance between efficacy, safety and tolerability, and quality of life",Blood Cancer Journal,10.1038/s41408-021-00432-4,0
pub.1135151953,ERS International Congress 2020: highlights from the Thoracic Surgery and Transplantation Assembly,ERJ Open Research,10.1183/23120541.00743-2020,0
pub.1136381709,An indirect effect of covid-19 on the heart: A case report.,JRSM Cardiovascular Disease,10.1177/2048004020974238,0
pub.1136736737,Artificial Intelligence in Differential Diagnostics of Meningitis: A Nationwide Study,Diagnostics,10.3390/diagnostics11040602,0
pub.1135909892,An ensemble forecasting method using univariate time series COVID-19 data,24th Pan-Hellenic Conference on Informatics,10.1145/3437120.3437273,0
pub.1137964963,Pulmonary Embolism Prophylaxis in Patients with COVID-19: An Emerging Issue,Heart Lung and Circulation,10.1016/j.hlc.2021.04.018,0
pub.1134574944,Advanced Constitutive Modeling of the Thixotropic Elasto-Visco-Plastic Behavior of Blood: Steady-State Blood Flow in Microtubes,Materials,10.3390/ma14020367,0
pub.1137607428,Manufacturing Zero-Waste COVID-19 Personal Protection Equipment: a Case Study of Utilizing 3D Printing While Employing Waste Material Recycling,Circular Economy and Sustainability,10.1007/s43615-021-00047-8,0
pub.1136992008,SURVEY ON e-HEALTH KNOWLEDGE AND USAGE IN GENERAL CARDIOLOGY,null,10.1093/ehjdh/ztab032,0
pub.1135549459,"Exposure to SARS-CoV-2 in Aerosolized Wastewater: Toilet Flushing, Wastewater Treatment, and Sprinkler Irrigation",Water,10.3390/w13040436,0
pub.1132822800,Examination of Chaotic Structures in Semiconductor or Alloy Voltage Time-Series: A Complex Network Approach for the Case of TlInTe2,Physics,10.3390/physics2040036,0
pub.1137464774,Sensitivity and applications of the PCR Single-Strand Conformation Polymorphism method,Molecular Biology Reports,10.1007/s11033-021-06349-2,0
pub.1134528161,Psychological implications on stoma patients waiting for reversal in the era of COVID-19 pandemic,British Journal of Surgery,10.1093/bjs/znab022,0
pub.1133066111,"Corrigendum to “Self-reported changes in anxiety, depression and suicidality during the COVID-19 lockdown in Greece”. [J Affect Disord . 2020 Nov 2;279:624-629]",Journal of Affective Disorders,10.1016/j.jad.2020.11.116,0
pub.1136506814,A Dialogue on Institutions,null,10.1007/978-3-030-63016-4,0
pub.1134011414,Precaution Measures for the Safety of the Personnel in the Surgical Wards during the COVID-19 Pandemic.,The Journal of Hand Surgery (Asian-Pacific Volume),10.1142/s2424835521200022,0
pub.1134946865,Human coronaviruses in idiopathic Parkinson's disease: Implications of SARS-CoV-2's modulation of the host's transcriptome,Infection Genetics and Evolution,10.1016/j.meegid.2021.104733,0
pub.1133352648,"THE IMPACT OF COVID-19 ON ECONOMY, EMPLOYMENT AND NEW SKILLS",JOURNAL OF EUROPEAN ECONOMY,10.35774/jee2020.03.409,0
pub.1135304006,Transformational Leadership and Digital Skills in Higher Education Institutes: During the COVID-19 Pandemic,Emerging Science Journal,10.28991/esj-2021-01252,0
pub.1135795668,Animal Coronaviruses Induced Apoptosis,Life,10.3390/life11030185,0
pub.1135715221,Outcomes of the implementation of game-based anatomy teaching approaches: An overview,Morphologie,10.1016/j.morpho.2021.02.001,0
pub.1132752949,Machine Learning and Statistical Analysis applied on Mechanical Engineering CAD course: A Case Study During ERTE Pahse in the Context of Higher Education,2020 4th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),10.1109/ismsit50672.2020.9254924,0
pub.1112367289,"Design, Synthesis, and Biological Evaluation of Novel C5-Modified Pyrimidine Ribofuranonucleosides as Potential Antitumor or/and Antiviral Agents",Medicinal Chemistry,10.2174/1573406415666190225112950,0
pub.1137103475,Shifting to Emergency Remote Teaching Due to the COVID-19 Pandemic: An Investigation of Greek Teachers’ Beliefs and Experiences,"Technology and Innovation in Learning, Teaching and Education",10.1007/978-3-030-73988-1_25,0
pub.1138038594,Distance Learning in the Era of COVID-19: Supporting Educational Robotics with Augmented Reality,Education in & with Robotics to Foster 21st-Century Skills,10.1007/978-3-030-77022-8_4,0
pub.1137748362,Diagnostic accuracy of virtual cognitive assessment and testing: Systematic review and meta‐analysis,Journal of the American Geriatrics Society,10.1111/jgs.17190,0
pub.1135276816,"Author Correction: Implications of TP53 allelic state for genome stability, clinical presentation and outcomes in myelodysplastic syndromes",Nature Medicine,10.1038/s41591-021-01253-5,0
pub.1137102459,E-assessment and Academic Integrity: A Literature Review,"Technology and Innovation in Learning, Teaching and Education",10.1007/978-3-030-73988-1_24,0
pub.1136424678,Live European School of Oncology e-Sessions (e-ESO),Critical Reviews in Oncology/Hematology,10.1016/j.critrevonc.2021.103301,0
pub.1137803468,Impact of personal protective equipment use on health care workers’ physical health during the COVID-19 pandemic: a systematic review and meta-analysis,American Journal of Infection Control,10.1016/j.ajic.2021.04.084,0
pub.1137713130,Utilizing Robotics for Learning English as a Foreign Language,SHS Web of Conferences,10.1051/shsconf/202110201013,0
pub.1132451802,Education and training programmes for infection prevention and control professionals: mapping the current opportunities and local needs in European countries,Antimicrobial Resistance & Infection Control,10.1186/s13756-020-00835-1,0
pub.1138378506,The determinants of Covid-19 mortality rates across Europe:,Region,10.18335/region.v8i1.342,0
pub.1136499691,Student Next Assignment Submission Prediction Using a Machine Learning Approach,Advances in Automation II,10.1007/978-3-030-71119-1_38,0
pub.1134981444,"The maritime delimitation agreement between Greece and Italy of 9 June 2020: An analysis in the light of International Law, national interest and regional politics",Marine Policy,10.1016/j.marpol.2021.104403,0
pub.1135918104,Special section editorial: Enforcement of financial reporting,Accounting and Business Research,10.1080/00014788.2021.1891655,0
pub.1136755687,Correction to: Reduced level of physical activity during COVID-19 pandemic is associated with depression and anxiety levels: an internet-based survey,BMC Public Health,10.1186/s12889-021-10684-1,0
pub.1138071238,Anakinra in hospitalized non-intubated patients with coronavirus disease 2019: a systematic review and meta-analysis,Rheumatology,10.1093/rheumatology/keab447,0
pub.1127811694,Two-scale Phenomenological and Statistical Analysis of the COVID-19 Pandemic,Research Square,10.21203/rs.3.rs-30929/v1,0
pub.1132677630,P.654 Stress hormones as predictors of response to cognitive-behavior therapy in panic disorder,European Neuropsychopharmacology,10.1016/j.euroneuro.2020.09.479,0
pub.1134288125,A call to action; an open letter to WHO from the international interventional radiology community,CVIR Endovascular,10.1186/s42155-020-00195-2,0
pub.1133879133,Patient outcomes following surgical management of thyroid nodules classified as Bethesda category III (AUS/FLUS),European Journal of Surgical Oncology,10.1016/j.ejso.2020.11.078,0
pub.1131248589,COVID-19 and upper respiratory tract: Collecting swab specimens from patients inhaling corticosteroids,Journal of Allergy and Clinical Immunology,10.1016/j.jaci.2020.09.004,0
pub.1137963397,Barriers and activities to implementing or expanding influenza vaccination programs in low- and middle-income countries: A global survey,Vaccine,10.1016/j.vaccine.2021.04.043,0
pub.1137050372,"Next generation Europe: a recovery plan for children, adolescents and their families",European Child & Adolescent Psychiatry,10.1007/s00787-021-01767-w,0
pub.1132892137,Glycemic Control of Patients with Type 1 Diabetes Using an Insulin Pump Before and During the COVID-19–Associated Quarantine,Diabetes Technology & Therapeutics,10.1089/dia.2020.0423,0
pub.1136354075,"Transmission Dynamics of SARS-CoV-2 during an Outbreak in a Roma Community in Thessaly, Greece—Control Measures and Lessons Learned",International Journal of Environmental Research and Public Health,10.3390/ijerph18062878,0
pub.1137539351,"Testosterone levels in COVID‐19: More data, but how do we proceed?",Andrologia,10.1111/and.14088,0
pub.1137191719,Microsurgery at Home during COVID-19 Pandemic: A Do-It-Yourself Toolkit,Journal of Reconstructive Microsurgery,10.1055/s-0041-1727189,0
pub.1128276841,Heart failure in the course of a pandemic,European Journal of Heart Failure,10.1002/ejhf.1929,0
pub.1132595475,The rise of virtual races in the time of Coronavirus Disease 2019 pandemic.,The Journal of Sports Medicine and Physical Fitness,10.23736/s0022-4707.20.11893-0,0
pub.1137493496,Metaanálisis para evaluar el riesgo de infecciones respiratorias y síndrome de distrés respiratorio del adulto con los agonistas del receptor del péptido similar al glucagón tipo 1 en los ensayos de seguridad cardiovascular: consecuencias útiles para la pandemia de COVID-19,Revista Clínica Española,10.1016/j.rce.2021.04.001,0
pub.1135864350,Comparison of Two Different Sedation Protocols during Transvaginal Oocyte Retrieval: Effects on Propofol Consumption and IVF Outcome: A Prospective Cohort Study,Journal of Clinical Medicine,10.3390/jcm10050963,0
pub.1134716146,Changing the nature of benign entities during the pandemic. A riddle asking for solution?,British Journal of Surgery,10.1093/bjs/znab041,0
pub.1131752872,PRIME Cells Predicting Rheumatoid Arthritis Flares,New England Journal of Medicine,10.1056/nejmc2027492,0
pub.1132078866,COVID-19 Infection in Pediatric Population,International Journal of Reliable and Quality E-Healthcare,10.4018/ijrqeh.2021010102,0
pub.1136806630,Waste and biomass management and valorization,Environmental Science and Pollution Research,10.1007/s11356-021-13672-5,0
pub.1133392249,ECCB2020: the 19th European Conference on Computational Biology,Bioinformatics,10.1093/bioinformatics/btaa979,0
pub.1138055836,"Assessment of the Association of COPD and Asthma with In-Hospital Mortality in Patients with COVID-19. A Systematic Review, Meta-Analysis, and Meta-Regression Analysis",Journal of Clinical Medicine,10.3390/jcm10102087,0
pub.1127694603,Letter to the editor: The role of angiotensin-converting enzyme inhibitors and angiotensin receptor blockers in developing a COVID-19 comorbidity-based host risk score,Critical Care,10.1186/s13054-020-02903-9,0
pub.1132216670,Regional economic growth and inequality in Greece,Regional Science Policy & Practice,10.1111/rsp3.12363,0
pub.1130256329,Political Correctness: A Sociocultural Black Hole,null,10.4324/9781003058489,0
pub.1138093771,Impact of COVID-19 on Stock Markets,null,10.46557/001c.22974,0
pub.1138266915,"A Twitter discourse analysis of negative feelings and stigma related to NAFLD, NASH, and obesity",Liver International,10.1111/liv.14969,0
pub.1137733948,A toddler diagnosed with severe postinfectious bronchiolitis obliterans and COVID‐19 infection,Pediatric Pulmonology,10.1002/ppul.25436,0
pub.1132430919,SDGs Patterns Across the Globe: From Theory to Practice,Decent Work and Economic Growth,10.1007/978-3-319-95867-5_81,0
pub.1130788943,Cancer Patients and Oncology Clinical Practice in COVID-19 Pandemic,Forum of Clinical Oncology,10.2478/fco-2019-0019,0
pub.1137163042,"Colchicine for the treatment of COVID-19 patients: efficacy, safety, and model informed dosage regimens",Xenobiotica,10.1080/00498254.2021.1909782,0
pub.1137248984,POS-738 SARS-CoV-2 INFECTION IN PEDIATRIC KIDNEY TRANSPLANT RECIPIENTS DURING EARLY AND LATE POST-TRANSPLANT PERIOD: A SINGLE-CENTER REPORT OF 2 CASES,Kidney International Reports,10.1016/j.ekir.2021.03.770,0
pub.1132938663,Atypical HCoV-NL63 Infection in an Infant During the SARS-CoV-2 Pandemic,The Indian Journal of Pediatrics,10.1007/s12098-020-03580-w,0
pub.1135471113,Maternal and perinatal outcomes in high compared to low risk pregnancies complicated by severe acute respiratory syndrome coronavirus 2 infection (phase 2): the World Association of Perinatal Medicine working group on coronavirus disease 2019,American Journal of Obstetrics & Gynecology MFM,10.1016/j.ajogmf.2021.100329,0
pub.1131005626,To the editor: Interventional radiology in the COVID-19 era: Crisis and opportunity.,CVIR Endovascular,10.1186/s42155-020-00162-x,0
pub.1136950047,Excess Mortality in Greece during 2020; the role of COVID-19 and Cardiovascular disease,Hellenic Journal of Cardiology,10.1016/j.hjc.2021.04.002,0
pub.1137680513,Acceptance of Distance Learning during the COVID-19 Movement Restrictions: Does the Year of Studies Matter?,Proceedings of the 13th International Conference on Computer Supported Education,10.5220/0010462805910602,0
pub.1126911600,The Role of Hydroxychloroquine in Coronavirus Disease 2019. A Versatile Tool at the Service of Humanity,Frontiers in Medicine,10.3389/fmed.2020.00176,0
pub.1127644634,Upregulation of Human Endogenous Retroviruses in Bronchoalveolar Lavage Fluid of COVID-19 Patients,medRxiv,10.1101/2020.05.10.20096958,0
pub.1138359117,Lymphadenopathy and granulomas: benignancy of malignancy and differential diagnosis with endobronchial ultrasound-transbronchial needle biopsy 19G needle fine-needle aspiration biopsy,Lung Cancer Management,10.2217/lmt-2021-0002,0
pub.1136992345,Echo(e)s of an invasion. A rare pericardial synovial sarcoma.,Hellenic Journal of Cardiology,10.1016/j.hjc.2021.03.010,0
pub.1135276600,Heart Failure: From novel pharmaceutical therapies to circulation support systems,Hellenic Journal of Cardiology,10.1016/j.hjc.2021.02.001,0
pub.1138393609,Deaf voices / Deaf art: Vocality through and beyond sound and sign1,Journal of Interdisciplinary Voice Studies,10.1386/jivs_00034_1,0
pub.1135374945,COVID-19 Goes on Twitter. Greek Conversations and Discussions,Strategic Innovative Marketing and Tourism in the COVID-19 Era,10.1007/978-3-030-66154-0_9,0
pub.1131229193,Cellular senescence and failure of myelin repair in multiple sclerosis,Mechanisms of Ageing and Development,10.1016/j.mad.2020.111366,0
pub.1132985463,Sustainable Tourism Production and Consumption as Constituents of Sustainable Tourism GDP: Lessons from a Typical Index of Sustainable Economic Welfare (ISEW),"Strategies in Sustainable Tourism, Economic Growth and Clean Energy",10.1007/978-3-030-59675-0_10,0
pub.1135919424,Pathways through acute athlete care during training and major tournaments: a multi-national conceptualised process,International Journal of Sport and Exercise Psychology,10.1080/1612197x.2021.1892940,0
pub.1137482478,"Physical Activity, Sedentariness, Eating Behaviour and Well-Being during a COVID-19 Lockdown Period in Greek Adolescents",Nutrients,10.3390/nu13051449,0
pub.1136612584,Integrating Transwomen and Female Athletes with Differences of Sex Development (DSD) into Elite Competition: The FIMS 2021 Consensus Statement,Sports Medicine,10.1007/s40279-021-01451-8,0
pub.1136950064,Anaphylactic reactions to mRNA COVID-19 vaccines: A call for further study,Vaccine,10.1016/j.vaccine.2021.03.073,0
pub.1138323929,Relationship between ventilator-associated pneumonia and mortality in COVID-19 patients: a planned ancillary analysis of the coVAPid cohort,Critical Care,10.1186/s13054-021-03588-4,0
pub.1129902356,Mortality rate among critically ill patients with COVID-19 in a medical system with adequate hospital resources: a prospective observational study,Research Square,10.21203/rs.3.rs-52242/v1,0
pub.1136581056,Lights Back on the Mitral Valve,Hellenic Journal of Cardiology,10.1016/j.hjc.2021.03.002,0
pub.1130829820,To the editor: Interventional radiology in the COVID-19 era: Crisis and opportunity,CVIR Endovascular,10.1186/s42155-020-00162-x,0
pub.1137885677,COVID-19 and Its Impact on Tourism Industry,Coronavirus Disease - COVID-19,10.1007/978-3-030-63761-3_45,0
pub.1136614189,Student Mobility Flows in a Greek Regional University: Spatial Interactions and Social Dynamics as Leaders for the Place of Study Decision Making,Papers in Applied Geography,10.1080/23754931.2021.1901238,0
pub.1132287415,Clinical features and outcomes of hospitalized COVID-19 patients in a low burden region.,Research Square,10.21203/rs.3.rs-101478/v1,0
pub.1138135041,University Students Perception of Online Education: Is Engagement Enough?,Acta Informatica Medica,10.5455/aim.2021.29.4-9,0
pub.1131397333,Distance Learning for Secondary Education Students. The Role of Educational Neuroscience,Brain Function Assessment in Learning,10.1007/978-3-030-60735-7_17,0
pub.1132497650,COVID-19: An Archetype Innate Immunity Reaction and Modes of Treatment,Mediterranean Journal of Rheumatology,10.31138/mjr.31.3.275,0
pub.1137107471,SciLOET: A Framework for Assessing Digital Learning Objects for Science Education,"Technology and Innovation in Learning, Teaching and Education",10.1007/978-3-030-73988-1_27,0
pub.1136048520,Patient shielding: The need for a European consensus statement,Physica Medica,10.1016/j.ejmp.2021.01.077,0
pub.1135454147,Teaching Soft Skills in Engineering Education: An European Perspective,IEEE Access,10.1109/access.2021.3059516,0
pub.1135377588,"COVID-19 Effects in People’s Daily Life, Social Media’s Role and the Power of Emotions and Mind",Strategic Innovative Marketing and Tourism in the COVID-19 Era,10.1007/978-3-030-66154-0_16,0
pub.1135871867,Use of conventional synthetic and biologic disease-modifying anti-rheumatic drugs in patients with rheumatic diseases contracting COVID-19: a single-center experience,Rheumatology International,10.1007/s00296-021-04818-2,0
pub.1128648461,Variation in volumes and characteristics of ENT emergency visits during COVID-19 pandemic. Where are the patients?,Research Square,10.21203/rs.3.rs-35778/v1,0
pub.1137157213,Unaccompanied Minors in Greece and Italy: An Exploration of the Challenges for Social Work within Tighter Immigration and Resource Constraints in Pandemic Times,Social Sciences,10.3390/socsci10040134,0
pub.1136594293,Research on Researchers. Coping during COVID-19. Results on a Nation-Wide Survey,Science and Public Policy,10.1093/scipol/scab028,0
pub.1137530377,Takayasu arteritis in an adolescent with Crohn’s disease,Rheumatology International,10.1007/s00296-021-04869-5,0
pub.1137103679,Social media in health care: Exploring its use by health-care professionals in Greece,Informatics for Health and Social Care,10.1080/17538157.2021.1906256,0
pub.1135782727,The Advent and Fall of Trust as a Cornerstone of Judicial Cooperation in Multilateral Regimes in Europe. A Cautionary Tale,SSRN Electronic Journal,10.2139/ssrn.3791595,0
pub.1137718055,Abnormal Thyroid Function Is Associated With Lymphopenia in Bacterial Sepsis and COVID-19,Journal of the Endocrine Society,10.1210/jendso/bvab048.1704,0
pub.1128216947,Passive and Unequal: The Karlsruhe Vision for the Eurozone,SSRN Electronic Journal,10.2139/ssrn.3617771,0
pub.1135651146,Reforming Under Pressure: The Evolution of Eurozone’s Fiscal Governance During a Decade of Crises,New Challenges for the Eurozone Governance,10.1007/978-3-030-62372-2_8,0
pub.1131495390,Public health law and COVID-19: Human rights and global health security,European Journal of Public Health,10.1093/eurpub/ckaa165.501,0
pub.1135910607,Training of ICT professionals in soft skills: the case of SEnDIng,24th Pan-Hellenic Conference on Informatics,10.1145/3437120.3437339,0
pub.1132819395,Hyponatremia in Patients with Hematologic Diseases,Journal of Clinical Medicine,10.3390/jcm9113721,0
pub.1137831316,COVID-19 and hyperglycemia/diabetes,World Journal of Diabetes,10.4239/wjd.v12.i5.642,0
pub.1136257658,Introduction: Eurozone and the Greek economic crisis in 2020: current challenges and prospects,European Politics and Society,10.1080/23745118.2021.1895551,0
pub.1136264961,The political economy of the Greek health sector and the implications of the economic crisis,European Politics and Society,10.1080/23745118.2021.1895557,0
pub.1137052996,"Cutaneous Vasculopathy in a COVID-19 Critically Ill Patient: A Histologic, Immunohistochemical, and Electron Microscopy Study",Case Reports in Critical Care,10.1155/2021/6644853,0
pub.1135007073,Firm Dynamics by Age and Size Classes and the Choice of Size Measure,SSRN Electronic Journal,10.2139/ssrn.3747529,0
pub.1133468030,Smart eGov Services for Citizenship: Improving Personalized Services,"2020 11th International Conference on Information, Intelligence, Systems and Applications (IISA",10.1109/iisa50023.2020.9284376,0
pub.1137887457,Nutritional Management Of Individuals With Obesity And Covid-19: Espen Expert Statements And Practical Guidance,Clinical Nutrition,10.1016/j.clnu.2021.05.006,0
pub.1136263413,Agri‐food sector and entrepreneurship during the COVID‐19 crisis: A systematic literature review and research agenda,Strategic Change,10.1002/jsc.2400,0
pub.1131191656,The global cruise industry: Financial performance evaluation,Research in Transportation Business & Management,10.1016/j.rtbm.2020.100558,0
pub.1136477857,The Role of Regulation and Competition in Information Production and Credit Allocation: Evidence from Small Business Lending,SSRN Electronic Journal,10.2139/ssrn.3779297,0
pub.1138330297,Public Financing and Management for a Sustainable Healthcare Sector: Some Lessons from the Covid-19 Pandemic,COVID-19: Paving the Way for a More Sustainable World,10.1007/978-3-030-69284-1_12,0
pub.1137217791,Newly Diagnosed Acute Myeloid Leukemia in a Patient With Severe SARS-CoV-2 Infection,Cureus,10.7759/cureus.14480,0
pub.1137803441,Pulmonary function testing in COPD: looking beyond the curtain of FEV1,npj Primary Care Respiratory Medicine,10.1038/s41533-021-00236-w,0
pub.1137016208,Environmental hotspots analysis: A systematic framework for food supply chains and implementation case in the UK poultry industry,Journal of Cleaner Production,10.1016/j.jclepro.2021.126981,0
pub.1137027018,Business strategy and environmental inefficiency,Journal of Cleaner Production,10.1016/j.jclepro.2021.127014,0
pub.1134288037,Enhancing shopping experiences in smart retailing,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-020-02774-6,0
pub.1136467499,Mapping travel behavior changes during the COVID-19 lock-down: a socioeconomic analysis in Greece,European Transport Research Review,10.1186/s12544-021-00481-7,0
pub.1137419917,Nanobiosystems for Antimicrobial Drug-Resistant Infections,Nanomaterials,10.3390/nano11051075,0
pub.1135987175,The Impact of COVID-19 on Malta and its Economy and Sustainable Strategies,null,10.51410/jcgirm.7.1.5,0
pub.1136565736,The future for Mediterranean wetlands: 50 key issues and 50 important conservation research questions,Regional Environmental Change,10.1007/s10113-020-01743-1,0
pub.1137503324,An approach of landsenses ecology and landsenseology in Greece,International Journal of Sustainable Development & World Ecology,10.1080/13504509.2021.1920061,0
pub.1136256650,The Signature of the Coronavirus Lockdown in Air Pollution in Greece,"Water, Air, & Soil Pollution",10.1007/s11270-021-05055-w,0
pub.1132754434,Miranda,Cahiers Élisabéthains A Journal of English Renaissance Studies,10.1177/0184767820946175l,0
pub.1132944868,"Editorial: Investigating the Impact of Current Issues on Leisure, Tourism, and Hospitality in Psychological Science",Frontiers in Psychology,10.3389/fpsyg.2020.596868,0
pub.1134343290,Do hotel financial factors influence satisfaction?,Annals of Tourism Research,10.1016/j.annals.2020.103128,0
pub.1135094533,"Observational Evidence of the Need for Gender-Sensitive Approaches to Wildfires Locally and Globally: Case Study of 2018 Wildfire in Mati, Greece",Sustainability,10.3390/su13031556,0
pub.1137482609,Factors that Impact Farmers’ Organic Conversion Decisions,Sustainability,10.3390/su13094715,0
pub.1128291602,Editorial,International Journal of Early Years Education,10.1080/09669760.2020.1765084,0
pub.1132872894,Biomarker Testing: Piercing the Fog of Alzheimer’s and Related Dementia,Biomedicine Hub,10.1159/000511233,0
pub.1136052777,IoT-based smart triage of Covid-19 suspicious cases in the Emergency Department,2020 IEEE Globecom Workshops (GC Wkshps,10.1109/gcwkshps50303.2020.9367584,0
pub.1133440190,PNS21 From Disease Burden to Healthcare Cost: Highlighting the Health Economics Aspects of the COVID-19 Pandemic,Value in Health,10.1016/j.jval.2020.08.1465,0
pub.1136604905,Myocardial Work: Methodology and Clinical Applications,Diagnostics,10.3390/diagnostics11030573,0
pub.1132042954,"A 3D-printed, touch-activated, sanitizer dispensing device for reducing healthcare-acquired infections",Journal of 3D Printing in Medicine,10.2217/3dp-2020-0004,0
pub.1135374447,The Role of Wi-Fi Positioning Systems in Safety Against COVID-19,Strategic Innovative Marketing and Tourism in the COVID-19 Era,10.1007/978-3-030-66154-0_13,0
