country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-15,2,44,74,-8,-13,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-16,3,40,92,-5,-14,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-17,1,42,91,2,-14,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-18,-4,35,84,6,-16,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-19,-8,29,96,25,-13,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-20,6,120,186,4,-11,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-21,0,-29,166,14,-62,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-22,5,54,102,6,-15,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-23,8,41,122,5,-14,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-24,10,47,128,11,-14,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-25,5,42,119,6,-15,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-26,-3,28,121,27,-10,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-27,6,120,192,26,-6,-11
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-28,19,44,135,14,-15,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-29,10,37,124,9,-18,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-06-30,15,45,153,18,-15,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-01,15,50,157,26,-18,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-02,7,49,132,19,-17,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-03,3,34,143,41,-9,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-04,13,139,226,45,-4,-13
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-05,27,51,168,30,-16,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-06,20,51,162,22,-16,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-07,22,50,194,28,-17,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-08,20,53,185,32,-16,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-09,12,47,168,24,-17,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-10,3,31,168,43,-10,-9
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-11,17,168,234,52,0,-13
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-12,28,50,190,36,-18,-9
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-13,22,53,186,29,-18,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-14,26,51,201,33,-18,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-15,24,56,192,36,-18,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-16,14,49,170,29,-19,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-17,6,32,169,49,-10,-10
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-18,12,152,225,51,-4,-12
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-19,34,56,193,40,-19,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-20,27,54,189,32,-19,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-21,29,56,225,35,-19,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-22,28,58,210,39,-18,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-23,17,51,188,31,-19,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-24,7,36,171,56,-11,-9
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-25,22,166,249,62,-3,-12
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-26,39,57,223,42,-20,-9
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-27,31,62,206,39,-19,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-28,32,58,229,39,-19,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-29,32,63,210,44,-18,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-30,18,55,173,33,-19,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-07-31,8,38,162,70,-11,-9
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-01,20,172,239,71,-3,-12
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-02,38,61,206,46,-24,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-03,28,59,195,41,-25,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-04,33,58,234,44,-24,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-05,32,61,224,49,-24,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-06,21,55,187,31,-25,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-07,12,39,176,68,-12,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-08,26,186,261,69,-2,-10
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-09,46,62,246,56,-33,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-10,34,60,226,47,-33,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-11,27,54,228,45,-35,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-12,35,61,248,51,-35,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-13,21,56,214,44,-37,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-14,10,40,184,75,-21,-8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-15,29,141,254,52,-9,-12
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-16,42,51,251,70,-40,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-17,33,57,239,56,-37,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-18,35,56,267,53,-34,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-19,34,62,229,51,-33,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-20,20,50,200,43,-34,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-21,11,34,162,72,-14,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-22,28,166,226,78,3,-10
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-23,42,60,200,53,-20,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-24,32,57,187,41,-21,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-25,34,58,207,45,-20,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-26,27,63,168,42,-20,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-27,22,53,157,37,-19,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-28,13,37,135,62,-6,-7
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-29,23,148,188,61,7,-9
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-30,40,61,152,47,-14,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-08-31,29,62,137,39,-15,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-01,28,58,147,38,-13,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-02,28,63,144,34,-13,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-03,18,52,121,27,-13,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-04,12,40,110,49,-2,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-05,9,133,117,42,6,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-06,33,59,128,33,-12,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-07,24,60,113,29,-12,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-08,15,58,81,33,-14,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-09,20,65,105,31,-12,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-10,16,53,100,25,-11,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-11,11,42,86,37,0,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-12,14,126,119,44,9,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-13,35,64,105,23,-13,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-14,19,58,91,22,-13,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-15,18,55,102,23,-12,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-16,14,56,95,22,-13,-6
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-17,9,46,78,13,-13,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-18,3,36,63,26,-4,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-19,4,108,96,27,4,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-20,16,52,75,20,-11,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-21,9,54,64,18,-11,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-22,5,45,51,15,-10,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-23,6,52,66,15,-9,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-24,4,47,58,11,-10,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-25,1,38,55,22,-4,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-26,6,103,93,23,3,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-27,11,49,59,15,-9,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-28,-1,45,31,11,-11,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-29,1,46,43,12,-12,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-09-30,4,57,46,14,-10,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-01,-2,47,36,7,-10,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-02,-3,37,32,14,-8,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-03,-4,84,71,15,-3,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-04,7,46,42,8,-12,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-05,2,47,41,6,-12,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-06,0,42,42,6,-12,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-07,-5,47,27,4,-11,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-08,-16,35,-6,1,-13,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-09,-16,34,-9,2,-12,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-10,-28,46,-8,2,-14,3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-11,4,44,25,6,-15,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-12,-8,39,1,-1,-13,-1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-13,0,41,33,7,-12,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-14,-21,30,-17,-6,-14,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-15,-19,34,-15,-6,-15,2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-16,-13,33,2,1,-13,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-17,-13,70,39,10,-9,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-18,3,44,27,9,-12,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-19,0,44,32,5,-11,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-20,0,38,41,10,-13,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-21,-2,45,35,5,-11,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-22,-5,40,31,7,-11,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-23,-8,32,24,7,-10,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-24,-18,60,17,0,-11,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-25,4,54,21,5,-12,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-26,-10,4,32,-4,-38,2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-27,10,73,46,20,-17,-5
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-28,-10,-41,87,-15,-69,8
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-29,-4,59,30,-5,-17,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-30,-9,36,20,3,-12,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-10-31,-10,68,53,39,-10,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-01,3,55,25,11,-10,-4
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-02,-11,44,-1,-6,-11,-1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-03,-1,47,32,2,-10,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-04,-1,51,33,0,-10,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-05,-5,45,23,2,-11,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-06,-13,39,24,-4,-11,-1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-07,-6,109,58,9,-8,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-08,-4,49,25,2,-11,-3
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-09,-9,47,20,-7,-11,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-10,-11,45,18,-3,-12,-1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-11,-9,54,26,0,-11,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-12,-12,45,17,-2,-12,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-13,-15,36,14,-7,-14,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-14,-22,62,36,5,-16,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-15,-6,54,12,-4,-11,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-16,-22,52,15,-8,-17,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-17,-8,44,21,-11,-17,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-18,-11,52,22,-4,-11,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-19,-14,42,5,-6,-12,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-20,-15,34,9,-13,-14,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-21,-18,66,55,4,-16,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-22,-8,48,13,-7,-10,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-23,-13,41,1,-16,-11,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-24,-11,43,11,-10,-12,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-25,-8,51,21,-5,-12,-1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-26,-12,46,1,-7,-12,1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-27,-13,39,9,-9,-14,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-28,-21,57,26,-4,-16,1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-29,-6,52,9,-6,-10,-1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-11-30,-15,45,-4,-14,-11,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-12-01,-8,45,20,-8,-11,-1
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-12-02,-9,55,24,-4,-10,-2
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-12-03,-13,46,7,-5,-11,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-12-04,-14,37,11,-14,-13,0
GR,Greece,Decentralized Administration of Macedonia and Thrace,,,,,ChIJ18P0sJ04qRQRlpORtPMYgD8,2021-12-05,-17,67,55,-3,-15,0
