Α/Α,ΥΠΟΥΡΓΕΙΟ,ΑΠΟΦΑΣΕΙΣ/ΜΕΤΡΑ,ΔΙΑΤΑΞΕΙΣ,ΦΕΚ,ΠΡΟΘΕΣΜΙΑ ΕΩΣ:,LINK,ΣΧΟΛΙΑ - ΛΗΞΗ
697,"ΟΙΚΟΝΟΜΙΚΩΝ -
 ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ -
 ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ -
 ΕΣΩΤΕΡΙΚΩΝ","Αριθμ. Δ1α/Γ.Π.οικ. 53441
 Συμπλήρωση της υπό στοιχεία Δ1α/Γ.Π.οικ.52976/28.8.2020 κοινής απόφασης των Υπουργών Οικονομικών, Ανάπτυξης και Επενδύσεων, Προστασίας του Πολίτη, Εργασίας και Κοινωνικών Υποθέσεων, Υγείας, Πολιτισμού και Αθλητισμού και Εσωτερικών «Επιβολή των μέτρων της προσωρινής αναστολής λειτουργίας ιδιωτικών επιχειρήσεων και άλλων χώρων συνάθροισης κοινού, της υποχρεωτικής χρήσης μάσκας, καθώς και ειδικότερων μέτρων σε συγκεκριμένες περιοχές της Χώρας από 1η.9.2020 έως και 15.9.2020, προς περιορισμό της διασποράς του κορωνοϊού COVID-19» (Β’ 3577)","Αρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α’ 42), η οποία
 κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76) και ιδίως η περ. ζ’ της παρ. 2 και η περ. ε’ της παρ. 4 αυτού
 ##
 Άρθρο τεσσαρακοστό τέταρτο της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α’ 90), η οποία κυρώθηκε με το άρθρο 2 του ν. 4690/2020 (Α’ 104)
 ##
 Άρθρο εικοστό τρίτο παρ. 4 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (Α’ 64), η οποία
 κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α’ 76)",Β3629/31-8-20,"ΣΥΜΠΗΡΩΣΗ Β' 3577
 
 Περιφερειακές Ενότητες Χαλκιδικής, Χανίων, Λέσβου, Ζακύνθου & 
 Δήμοι Μυκόνου, Πάρου, Αντιπάρου
 
 ως προς προσθήκη ΠΕ Ηρακλείου",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8daD3V9qz-bhp6k5uE6xNduJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtQXJ1kcqgFQOAKob26ZB-mMmDOyoHV1ZgUpICBGYfAcZ,"έως 15/9 & ώρα 6.00 π.μ. 
 
 (αντικαταστάθηκε από Β' 3639 έως 15/9 με προσθήκη λειτουργίας λαϊκών αγορών)"
698,"ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΑΙΔΕΙΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ -
 ΥΓΕΙΑΣ - ΕΣΩΤΕΡΙΚΩΝ","Αριθ. Δ1α/ΓΠ.οικ. 53452
 Μέτρα προστασίας για το σχολικό και εκπαιδευτικό έτος 2020-2021. Τρόπος ασφαλούς
 λειτουργίας φροντιστηρίων, κέντρων ξένων
 γλωσσών, φορέων παροχής εκπαίδευσης, κατάρτισης, μαθητείας και πιστοποίησης δεξιοτήτων, ξενόγλωσσων ινστιτούτων εκπαίδευσης και πάσης φύσεως συναφών δομών, δημοσίων και ιδιωτικών","Άρθρο τριακοστό έκτο παρ. 1 οι περ. α) και β) της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α’ 90), η οποία κυρώθηκε
 με το άρθρο 2 του ν. 4690/2020 (Α’ 104)",Β3630/31-8-20,,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88jqcC5XjbH_NZ8op6Z_wSuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtT3oNa4Y1srjrGwuH1d2hxCuh3797udZ1EofhLc3kW89,-
699,"ΑΝΕΞΑΡΤΗΤΗ ΑΡΧΗ
 ΔΗΜΟΣΙΩΝ ΕΣΟΔΩΝ","Αριθμ. Α. 1192
 Νέα προθεσμία υποβολής για αρχική και τροποποιητική «Δήλωση Covid» του άρθρου 11 της ΠΟΛ. 1162/2018 (Β’ 3579) απόφασης του Διοικητή της Α.Α.Δ.Ε. για τους μήνες Μάρτιο έως και Αύγουστο","Άρθρο 1 του ν. 4683/2020, με το οποίο κυρώθηκε η από 20.3.2020 Πράξη Νομοθετικού Περιεχομένου
 «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» και ιδιαίτερα του δεύτερου άρθρου αυτής, όπως ισχύει και του άρθρου 26 του ίδιου νόμου για την επέκταση της μείωσης μισθώματος επαγγελματικών μισθώσεων και μισθώσεων κύριας κατοικίας (Α’ 83)
 ##
 Άρθρο 1 του ν. 4684/2020, με το οποίο κυρώθηκε η από 30.03.2020 Πράξη Νομοθετικού Περιεχομένου ««Μέτρα αντιμετώπισης της πανδημίας του κορωνοϊού COVID-19 και άλλες κατεπείγουσες διατάξεις» και του
 άρθρου 3 του ν. 4684/2020, όπως ισχύουν για τη μείωση μισθώματος για μισθώσεις ναυτικών και εξαρτημένων μελών-φοιτητών (Α’ 86)",Β3636/1-9-20,υποβολή και αποδοχή δήλωσης covid για μεταβολή μισθώματος μηνών Μαρτίου έως και Αυγούστου 2020,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88jqcC5XjbH8fP1Rf9veiteJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtQsPfgCRc3JODD53fb4A8GcsC1BqOsppX8zTus1H0jCx,"υποβολή δήλωσης από 4/9 έως 23/9 & 
 αποδοχή δήλωσης από μισθωτές 
 έως 1/10"
700,ΟΙΚΟΝΟΜΙΚΩΝ - ΥΓΕΙΑΣ,"Αριθμ. Β1.α/οικ.53353
 Έκτακτη οικονομική ενίσχυση στα πλαίσια των
 μέτρων αποφυγής και περιορισμού της διάδοσης του κορωνοϊού","Άρθρο πέμπτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και εριορισμού της διάδοσης κορωνοϊού» (Α’ 42), η οποία κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76)
 ##
 Άρθρο δέκατο της από 10.08.2020 Πράξης Νομοθετικού Περιεχομένου «Επείγουσες ρυθμίσεις αντιμετώπισης εκτάκτων αναγκών του ΕΣΥ, προστασίας από τη διασπορά του Κορωνοιού Covid-19 στήριξης της αγοράς εργασίας και διευκόλυνσης της εκπαιδευτικής διαδικασίας» (Α’ 157)",Β3637/1-9-20,,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88jqcC5XjbH_3U4LPcASlceJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMteJ0ZziVHSLS9oczgNddtwtB9QvgQVnQBFoALfgm7mMA,-
701,"ΟΙΚΟΝΟΜΙΚΩΝ -
 ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ -
 ΥΓΕΙΑΣ - ΕΣΩΤΕΡΙΚΩΝ -
 ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","Αριθμ. Δ1α/ΓΠ.οικ. 53623
 Επιβολή των μέτρων της ελεγχόμενης εισόδου,
 του δειγματοληπτικού εργαστηριακού ελέγχου
 και του προσωρινού περιορισμού μονίμων κατοίκων της Ρωσικής Ομοσπονδίας, προς περιορισμό της διασποράς του κορωνοϊού COVID-19","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α’ 42), η οποία κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76), και ιδίως οι περ. α’, γ’, δ’, ε’ και θ’ της παρ. 2 και οι
 περ. α’, β’, γ’ και στ’ της παρ. 4 αυτού
 ##
 Άρθρο εικοστό τρίτο παρ. 1 και 5 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (Α’ 64), η οποία κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α’ 76), όπως η παρ. 1 τροποποιήθηκε με την παρ. 1 και η παρ. 5 προστέθηκε με την παρ. 2, αντίστοιχα, του άρθρου εξηκοστού ένατου της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α’ 68), η οποία κυρώθηκε με το άρθρο 1 του ν. 4683/2020 (Α’ 83)",Β3638/1-9-20,ΕΠΙΒΟΛΗ ΜΕΤΡΩΝ ΕΛΕΓΧΟΜΕΝΗΣ ΕΙΣΟΔΟΥ ΜΟΝΙΜΩΝ ΚΑΤΟΙΚΩΝ ΡΩΣΙΚΗΣ ΟΜΟΣΠΟΝΔΙΑΣ,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88jqcC5XjbH_uFUDqazHcNeJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtb-DW332J6c6g0xHv4DMDvkBfKBiqVxGY-y2dKfxkkHv,"έως 21/9 
 (απορροφήθηκε από Β' 4018 έως 5/10)"
702,"ΟΙΚΟΝΟΜΙΚΩΝ -
 ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ-
 ΥΓΕΙΑΣ - ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ -
 ΕΣΩΤΕΡΙΚΩΝ","Αριθμ. Δ1α/Γ.Π.οικ. 53696
 Αντικατάσταση της υπό στοιχεία Δ1α/Γ.Π.οικ.
 52976/28.8.2020 κοινής απόφασης των Υπουργών Οικονομικών, Ανάπτυξης και Επενδύσεων, Προστασίας του Πολίτη, Εργασίας και Κοινωνικών Υποθέσεων, Υγείας, Πολιτισμού και Αθλητισμού και Εσωτερικών «Επιβολή των μέτρων της προσωρινής αναστολής λειτουργίας ιδιωτικών επιχειρήσεων και άλλων χώρων συνάθροισης κοινού, της υποχρεωτικής χρήσης μάσκας, καθώς και ειδικότερων μέτρων σε συγκεκριμένες περιοχές της Χώρας από 1η.9.2020 έως και 15.9.2020, προς περιορισμό της διασποράς του κορωνοϊού COVID-19» (Β’ 3577)","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α’ 42), η οποία κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76) και ιδίως η περ. ζ’ της παρ. 2 και η περ. ε’ της παρ. 4 αυτού
 ##
 Άρθρο τεσσαρακοστό τέταρτο της από 1.5.2020 Πράξης Νομοθετικού Περιεχομένου «Περαιτέρω μέτρα για την αντιμετώπιση των συνεχιζόμενων συνεπειών της πανδημίας του κορωνοϊού COVID-19 και την επάνοδο στην κοινωνική και οικονομική κανονικότητα» (Α’ 90), η οποία κυρώθηκε με το άρθρο 2 του ν. 4690/2020 (Α’ 104)
 Άρθρο εικοστό τρίτο παρ. 4 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (Α’ 64), η οποία
 κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α’ 76)",Β3639/1-9-20,"ΑΝΤΙΚΑΤΑΣΤΑΣΗ Β' 3577_3629 
 
 Περιφερειακές Ενότητες Χαλκιδικής, Χανίων, Λέσβου, Ζακύνθου & 
 Δήμοι Μυκόνου, Πάρου, Αντιπάρου 
 (με προσθήκη λειτουργίας λαϊκών αγορών)",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL88jqcC5XjbH9p6k5uE6xNduJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtbTlbDKSvCYWtvrYXCoC3rE7JaWktdMyiH_IkV5nl-c4,"έως 15/9 & ώρα 6.00 π.μ. 
 (αντικαταστάθηκε από Β' 3927 έως 30/9)"
703,"ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΥΓΕΙΑΣ - ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ","Αριθμ. Δ1α/ΓΠ.οικ. 54005
 Λήψη μέτρων κατά της εμφάνισης και διασποράς κρουσμάτων του κορωνοϊού COVID-19 στο Κέντρο Υποδοχής και Ταυτοποίησης Λέσβου
 για το χρονικό διάστημα από 2.9.2020 έως και
 15.9.2020","Άρθρο εξηκοστό όγδοο της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της
 κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α΄ 68) και ιδίως της παρ. 5 αυτού, η οποία κυρώθηκε με το άρθρο 1 του ν. 4683/2020 (Α’ 83)
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού Covid-19» (Α΄ 42) και ιδίως των παρ. 5 και 6 αυτού, η οποία κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76)",Β3665/2-9-20,ΚΥΤ ΛΕΣΒΟΥ,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8kiChWYwaI_kliYHTRwL0-OJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtSf_kOGVL8hTXGHEo3M-y-qq_3XepRmlgmOpVCSYCURC,"έως 15/9 
 
 ΈΛΗΞΕ 
 (λόγω πυρκαγιάς στη Μόρια)"
704,"ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ - ΥΓΕΙΑΣ -
 ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ","Αριθμ. Δ1α/Γ.Π.οικ. 54035
 Λήψη μέτρων κατά της εμφάνισης και διασποράς κρουσμάτων του κορωνοϊού COVID-19 στη δομή φιλοξενίας πολιτών τρίτων χωρών Ριτσώνας του Δήμου Χαλκιδέων της Περιφερειακής Ενότητας Εύβοιας της Περιφέρειας Στερεάς Ελλάδας, για το χρονικό διάστημα από 2.9.2020 έως και 15.9.2020","Άρθρο εξηκοστό όγδοο της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της
 κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α’ 68) και ιδίως της παρ. 5 αυτού, η οποία κυρώθηκε με το άρθρο 1 του ν. 4683/2020 (Α’ 83)
 ##
 Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού Covid-19» (Α’ 42) και ιδίως των παρ. 5 και 6 αυτού, η οποία κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76)",Β3666/2-9-20,ΔΟΜΗ ΡΙΤΣΩΝΑΣ,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8kiChWYwaI_kfP1Rf9veiteJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtXwxwh8ry253XRtzNlhDTm4qO8lg0dVW7Q1R9qPjuoE2,"έως 15/9 
 (παρατάθηκε με Β' 3924 έως 30/9_Β' 4208 έως 12/10)"
705,"ΟΙΚΟΝΟΜΙΚΩΝ -
 ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ -
 ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ -
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ -
 ΥΓΕΙΑΣ - ΕΣΩΤΕΡΙΚΩΝ -
 ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","Αριθμ. Δ1α/Γ.Π.οικ. 54028
 Τροποποίηση της υπό στοιχεία Δ1α/Γ.Π.οικ.
 52824/27.8.2020 κοινής απόφασης των Υπουργών Οικονομικών, Ανάπτυξης και Επενδύσεων, Προστασίας του Πολίτη, Εργασίας και Κοινωνικών Υποθέσεων, Υγείας, Εσωτερικών και Υποδομών και Μεταφορών «Επιβολή των μέτρων της ελεγχόμενης εισόδου, του δειγματοληπτικού εργαστηριακού ελέγχου και του προσωρινού περιορισμού μονίμων κατοίκων του Ισραήλ, προς περιορισμό της διασποράς του κορωνοϊού COVID-19 (Β’ 3571)","Άρθρο πρώτο της από 25.2.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αποφυγής και περιορισμού της διάδοσης κορωνοϊού» (Α΄ 42), η οποία κυρώθηκε με το άρθρο 1 του ν. 4682/2020 (Α’ 76) και ιδίως οι περ. α’, γ’, δ’, ε’ και θ’ της παρ. 2 και οι περ.
 α’, β’, γ’ και στ’ της παρ. 4 αυτού
 ##
 Άρθρο εικοστό τρίτο παρ. 1 και 5 της από 14.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα αντιμετώπισης της ανάγκης περιορισμού της διασποράς του κορωνοϊού COVID-19» (A’ 64), η οποία κυρώθηκε με το άρθρο 3 του ν. 4682/2020 (Α’ 76), όπως η παρ. 1 τροποποιήθηκε με την παρ. 1 και η παρ. 5 προστέθηκε με την παρ. 2, αντίστοιχα, του άρθρου εξηκοστού ένατου της από 20.3.2020 Πράξης Νομοθετικού Περιεχομένου «Κατεπείγοντα μέτρα για την αντιμετώπιση των συνεπειών του κινδύνου διασποράς του κορωνοϊού COVID-19, τη στήριξη της κοινωνίας και της επιχειρηματικότητας και τη διασφάλιση της ομαλής λειτουργίας της αγοράς και της δημόσιας διοίκησης» (Α’ 68), η οποία κυρώθηκε με το άρθρο 1 του ν. 4683/2020 (Α’ 83)",Β3667/2-9-20,"ΤΡΟΠΟΠΟΙΗΣΗ 
 ΕΠΙΒΟΛΗΣ ΜΕΤΡΩΝ ΜΟΝΙΜΩΝ ΚΑΤΟΙΚΩΝ ΙΣΡΑΗΛ",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8kiChWYwaI_n3U4LPcASlceJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtUkoFYXMPCLf9qBhTTnH2VTmnPPBqSgbolZDjx0nIYGu,"έως 15/9 
 
 (τροποποίησε το Β' 3571 με προσθήκη αερολιμένα Ρόδου) 
 
 [απορροφήθηκε από Β' 3928 έως 30/9]"
706,"ΟΙΚΟΝΟΜΙΚΩΝ - 
 ΑΝΑΠΤΥΞΗΣ
 ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ - ΝΑΥΤΙΛΙΑΣ
 ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","Αριθμ. 4111.08-01/2349 (2)
 Τροποποίηση της υπ’ αρ. 4111.08-01/1002/
 24-3-2020 κοινής απόφασης των Υφυπουργών
 Οικονομικών - Ανάπτυξης και Επενδύσεων και
 του Υπουργού Ναυτιλίας και Νησιωτικής Πολιτικής «Καθορισμός του ποσού που καταβάλλεται για το μέτρο του Μεταφορικού Ισοδύναμου για το έτος 2020» (Β’ 1165)","Ανάγκη αύξησης του προϋπολογισμού του μέτρου του Μεταφορικού Ισοδύναμου λόγω της συμμετοχής της νήσου Κρήτης για λόγους COVID-19 το 2020 στο σκέλος των Επιχειρήσεων, καθώς και της αυξημένης
 συμμετοχής Επιβατών και Επιχειρήσεων σε αυτό
 (ΔΕΝ ΕΚΔΙΔΕΤΑΙ ΔΥΝΑΜΕΙ ΔΙΑΤΑΞΕΩΝ ΠΝΠ)",Β3671/2-9-20,Μεταφορικό Ισοδύναμο,http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8OFUYFqQYJVEtiDow6HlTE-JInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMte_v7uqADzWmXmWXOq_KLHJnfr5eFXIJXJTtAUSuKFQG,τροποποίησε Β' 1165
707,"ΟΙΚΟΝΟΜΙΚΩΝ-
 ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΩΝ ΥΠΟΘΕΣΕΩΝ","Αριθμ. οικ.34060/1857
 Τροποποίηση της υπ’ αρ. 32085/1771/07.08.2020
 κοινής υπουργικής απόφασης «Προσδιορισμός
 της διαδικασίας κάλυψης των ασφαλιστικών εισφορών για τις επιχειρήσεις - εργοδότες που
 δραστηριοποιούνται στον τριτογενή τομέα και
 στους κλάδους των αεροπορικών μεταφορών,
 βάσει ΚΑΔ σύμφωνα με τις διατάξεις του άρθρου
 123 του ν. 4714/2020 (Α’ 148)» (Β’ 3371)","Διατάξεις της παρ. 6 του άρθρου 123 του ν. 4714/2020: «Φορολογικές παρεμβάσεις για την ενίσχυση της αναπτυξιακής διαδικασίας της ελληνικής οικονομίας, ενσωμάτωση στην ελληνική νομοθεσία των
 Οδηγιών (ΕΕ) 2017/1852, (ΕΕ) 2018/822, (ΕΕ) 2020/876, (ΕΕ)2016/1164, (ΕΕ) 2018/1910 και (ΕΕ) 2019/475, συνεισφορά Δημοσίου για την αποπληρωμή δανείων πληγέντων δανειοληπτών λόγω των δυσμενών συνεπειών της νόσου COVID-19 και άλλες διατάξεις» (Α’ 148)
 (ΔΕΝ ΕΚΔΙΔΕΤΑΙ ΔΥΝΑΜΕΙ ΔΙΑΤΑΞΕΩΝ ΠΝΠ)",Β3673/3-9-20,"Οι επιχειρήσεις - εργοδότες των άρθρων 1 και 2 της
 παρούσας απόφασης που κάνουν χρήση των μέτρων
 επιδότησης ασφαλιστικών εισφορών, υποχρεούνται για
 την περίοδο από 1.7.2020 μέχρι 30.09.2020 και μέχρι 15.10.2020 ή 31.12.2020 εφόσον εντάσσονται στο μηχα-
 νισμό «ΣΥΝΕΡΓΑΣΙΑ», να διατηρήσουν τον ίδιο αριθμό
 προσωπικού που είχαν την 30ή Ιουνίου 2020 και σε πε-
 ρίπτωση καταγγελίας συμβάσεων εργασίας, αυτή είναι
 άκυρη",http://www.et.gr/idocs-nph/search/pdfViewerForm.html?args=5C7QrtC22wHUdWr4xouZundtvSoClrL8OFUYFqQYJVG4ndCieBbLVuJInJ48_97uHrMts-zFzeyCiBSQOpYnTy36MacmUFCx2ppFvBej56Mmc8Qdb8ZfRJqZnsIAdk8Lv_e6czmhEembNmZCMxLMtTBGvjJkuXe1YpjUB69zl9TGgLn2qpEO2UFql9go9aiU,"έως 15/10 ή 31/12 
 
 (τροποποίησε το Β' 3371)"
